player_id,general,combat,performance,economy,segments,progression
113024,"{'series_played': 5, 'games_played': 14}","{'kills': {'total': 206, 'average': 41.2, 'best': 51, 'worst': 26}, 'deaths': {'total': 192, 'average': 38.4, 'worst': 54, 'best': 19}, 'first_kills': {'total': 5, 'percentage': 100.0}, 'damage': {'total': 22520, 'average': 1608.5714285714287, 'max': 2397}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 277, 'combat': {'kills': {'total': 206, 'average': 0.7436823104693141}, 'deaths': {'total': 192, 'average': 0.6931407942238267}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 4, 'avg_completions': 0.01444043321299639, 'first_completions': {'count': 273, 'percentage': 98.55595667870037}}, {'type': 'beginDefuseWithoutKit', 'completions': 5, 'avg_completions': 0.018050541516245487, 'first_completions': {'count': 273, 'percentage': 98.55595667870037}}, {'type': 'explodeBomb', 'completions': 7, 'avg_completions': 0.02527075812274368, 'first_completions': {'count': 270, 'percentage': 97.47292418772562}}, {'type': 'plantBomb', 'completions': 17, 'avg_completions': 0.061371841155234655, 'first_completions': {'count': 260, 'percentage': 93.86281588447653}}], 'win_rate': 43.682310469314075}]",
113026,"{'series_played': 3, 'games_played': 7}","{'kills': {'total': 123, 'average': 41.0, 'best': 53, 'worst': 20}, 'deaths': {'total': 123, 'average': 41.0, 'worst': 52, 'best': 20}, 'first_kills': {'total': 3, 'percentage': 100.0}, 'damage': {'total': 14667, 'average': 2095.285714285714, 'max': 3411}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 178, 'combat': {'kills': {'total': 123, 'average': 0.6910112359550562}, 'deaths': {'total': 123, 'average': 0.6910112359550562}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 178, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 1, 'avg_completions': 0.0056179775280898875, 'first_completions': {'count': 177, 'percentage': 99.43820224719101}}, {'type': 'explodeBomb', 'completions': 3, 'avg_completions': 0.016853932584269662, 'first_completions': {'count': 175, 'percentage': 98.31460674157303}}, {'type': 'plantBomb', 'completions': 8, 'avg_completions': 0.0449438202247191, 'first_completions': {'count': 170, 'percentage': 95.50561797752809}}], 'win_rate': 48.31460674157304}]",
113028,"{'series_played': 3, 'games_played': 7}","{'kills': {'total': 132, 'average': 44.0, 'best': 58, 'worst': 32}, 'deaths': {'total': 116, 'average': 38.666666666666664, 'worst': 47, 'best': 22}, 'first_kills': {'total': 3, 'percentage': 100.0}, 'damage': {'total': 14053, 'average': 2007.5714285714287, 'max': 3021}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 178, 'combat': {'kills': {'total': 132, 'average': 0.7415730337078652}, 'deaths': {'total': 116, 'average': 0.651685393258427}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 2, 'avg_completions': 0.011235955056179775, 'first_completions': {'count': 176, 'percentage': 98.87640449438202}}, {'type': 'beginDefuseWithoutKit', 'completions': 2, 'avg_completions': 0.011235955056179775, 'first_completions': {'count': 177, 'percentage': 99.43820224719101}}, {'type': 'explodeBomb', 'completions': 3, 'avg_completions': 0.016853932584269662, 'first_completions': {'count': 175, 'percentage': 98.31460674157303}}, {'type': 'plantBomb', 'completions': 12, 'avg_completions': 0.06741573033707865, 'first_completions': {'count': 166, 'percentage': 93.25842696629213}}], 'win_rate': 48.31460674157304}]",
113030,"{'series_played': 3, 'games_played': 7}","{'kills': {'total': 130, 'average': 43.333333333333336, 'best': 51, 'worst': 35}, 'deaths': {'total': 118, 'average': 39.333333333333336, 'worst': 51, 'best': 17}, 'first_kills': {'total': 3, 'percentage': 100.0}, 'damage': {'total': 12667, 'average': 1809.5714285714287, 'max': 2997}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 178, 'combat': {'kills': {'total': 130, 'average': 0.7303370786516854}, 'deaths': {'total': 118, 'average': 0.6629213483146067}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 178, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 178, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 5, 'avg_completions': 0.028089887640449437, 'first_completions': {'count': 173, 'percentage': 97.19101123595506}}, {'type': 'plantBomb', 'completions': 18, 'avg_completions': 0.10112359550561797, 'first_completions': {'count': 160, 'percentage': 89.8876404494382}}], 'win_rate': 48.31460674157304}]",
113034,"{'series_played': 4, 'games_played': 8}","{'kills': {'total': 154, 'average': 38.5, 'best': 53, 'worst': 20}, 'deaths': {'total': 141, 'average': 35.25, 'worst': 42, 'best': 25}, 'first_kills': {'total': 3, 'percentage': 75.0}, 'damage': {'total': 17131, 'average': 2141.375, 'max': 3442}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 188, 'combat': {'kills': {'total': 154, 'average': 0.8191489361702128}, 'deaths': {'total': 141, 'average': 0.75}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 188, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 2, 'avg_completions': 0.010638297872340425, 'first_completions': {'count': 187, 'percentage': 99.46808510638297}}, {'type': 'explodeBomb', 'completions': 3, 'avg_completions': 0.015957446808510637, 'first_completions': {'count': 185, 'percentage': 98.40425531914893}}, {'type': 'plantBomb', 'completions': 8, 'avg_completions': 0.0425531914893617, 'first_completions': {'count': 180, 'percentage': 95.74468085106383}}], 'win_rate': 49.46808510638298}]",
113036,"{'series_played': 2, 'games_played': 5}","{'kills': {'total': 93, 'average': 46.5, 'best': 57, 'worst': 36}, 'deaths': {'total': 69, 'average': 34.5, 'worst': 41, 'best': 28}, 'first_kills': {'total': 2, 'percentage': 100.0}, 'damage': {'total': 9846, 'average': 1969.2, 'max': 2256}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 114, 'combat': {'kills': {'total': 93, 'average': 0.8157894736842105}, 'deaths': {'total': 69, 'average': 0.6052631578947368}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 114, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 6, 'avg_completions': 0.05263157894736842, 'first_completions': {'count': 110, 'percentage': 96.49122807017544}}, {'type': 'explodeBomb', 'completions': 4, 'avg_completions': 0.03508771929824561, 'first_completions': {'count': 110, 'percentage': 96.49122807017544}}, {'type': 'plantBomb', 'completions': 10, 'avg_completions': 0.08771929824561403, 'first_completions': {'count': 104, 'percentage': 91.22807017543859}}], 'win_rate': 45.614035087719294}]",
113038,"{'series_played': 2, 'games_played': 5}","{'kills': {'total': 81, 'average': 40.5, 'best': 48, 'worst': 33}, 'deaths': {'total': 79, 'average': 39.5, 'worst': 50, 'best': 29}, 'first_kills': {'total': 2, 'percentage': 100.0}, 'damage': {'total': 8044, 'average': 1608.8, 'max': 2085}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 114, 'combat': {'kills': {'total': 81, 'average': 0.7105263157894737}, 'deaths': {'total': 79, 'average': 0.6929824561403509}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 114, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 1, 'avg_completions': 0.008771929824561403, 'first_completions': {'count': 113, 'percentage': 99.12280701754386}}, {'type': 'explodeBomb', 'completions': 5, 'avg_completions': 0.043859649122807015, 'first_completions': {'count': 109, 'percentage': 95.6140350877193}}, {'type': 'plantBomb', 'completions': 10, 'avg_completions': 0.08771929824561403, 'first_completions': {'count': 104, 'percentage': 91.22807017543859}}], 'win_rate': 45.614035087719294}]",
113040,"{'series_played': 1, 'games_played': 3}","{'kills': {'total': 50, 'average': 50.0, 'best': 50, 'worst': 50}, 'deaths': {'total': 49, 'average': 49.0, 'worst': 49, 'best': 49}, 'first_kills': {'total': 1, 'percentage': 100.0}, 'damage': {'total': 5547, 'average': 1849.0, 'max': 1962}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 71, 'combat': {'kills': {'total': 50, 'average': 0.704225352112676}, 'deaths': {'total': 49, 'average': 0.6901408450704225}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 71, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 71, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 1, 'avg_completions': 0.014084507042253521, 'first_completions': {'count': 70, 'percentage': 98.59154929577466}}, {'type': 'plantBomb', 'completions': 4, 'avg_completions': 0.056338028169014086, 'first_completions': {'count': 67, 'percentage': 94.36619718309859}}], 'win_rate': 49.29577464788733}]",
113042,"{'series_played': 0, 'games_played': 0}","{'kills': {'total': 0, 'average': 0.0, 'best': 0, 'worst': 0}, 'deaths': {'total': 0, 'average': 0.0, 'worst': 0, 'best': 0}, 'first_kills': {'total': 0, 'percentage': 0.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",[],"{'experience': {'total': 0, 'average': 0.0, 'max': 0}}"
113043,"{'series_played': 0, 'games_played': 0}","{'kills': {'total': 0, 'average': 0.0, 'best': 0, 'worst': 0}, 'deaths': {'total': 0, 'average': 0.0, 'worst': 0, 'best': 0}, 'first_kills': {'total': 0, 'percentage': 0.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",[],"{'experience': {'total': 0, 'average': 0.0, 'max': 0}}"
