nickname,player_id,series_count,game_count,total_kills,avg_kills,max_kills,min_kills,total_deaths,avg_deaths,max_deaths,min_deaths,kd_ratio,kills_per_game,deaths_per_game
marat2k 風速,19538,37,89,1274,34.432432432432435,61,14,1276,34.486486486486484,68,13,0.9984326018808778,14.314606741573034,14.337078651685394
2high,19549,22,53,750,34.09090909090909,53,18,784,35.63636363636363,47,18,0.9566326530612244,14.150943396226417,14.79245283018868
chawzyyy,43856,4,9,134,33.5,49,22,136,34.0,43,18,0.9852941176470588,14.88888888888889,15.11111111111111
arvid,43890,18,42,626,34.77777777777778,63,20,633,35.166666666666664,54,24,0.9889415481832544,14.904761904761903,15.071428571428571
ykis,43891,5,10,165,33.0,48,19,160,32.0,42,18,1.03125,16.5,16.0
japE,43892,18,42,607,33.72222222222222,72,20,611,33.94444444444444,49,22,0.9934533551554828,14.452380952380953,14.547619047619047
welho,43893,18,42,572,31.77777777777778,53,14,640,35.55555555555556,57,21,0.89375,13.61904761904762,15.238095238095235
goldfer,43930,126,293,4773,37.88095238095238,62,18,4307,34.182539682539684,65,7,1.1081959600650104,16.2901023890785,14.699658703071671
k1ndoff,43938,149,353,4596,30.845637583892614,59,12,5033,33.77852348993289,57,11,0.9131730578183984,13.019830028328611,14.257790368271955
Griller,43952,31,74,1081,34.87096774193548,82,17,1094,35.29032258064516,59,23,0.9881170018281537,14.608108108108109,14.783783783783784
BøghmagiC,46343,18,42,573,31.83333333333333,58,14,618,34.333333333333336,56,22,0.9271844660194176,13.642857142857142,14.714285714285714
hagmeister,46834,2,5,63,31.5,38,25,69,34.5,40,29,0.9130434782608696,12.6,13.8
Viktha,46840,2,5,54,27.0,31,23,63,31.5,36,27,0.8571428571428571,10.8,12.6
wenba,46842,2,5,72,36.0,41,31,72,36.0,41,31,1.0,14.4,14.4
prisma21,48296,6,8,110,18.33333333333333,32,6,138,23.0,34,15,0.7971014492753623,13.75,17.25
T3mpty,49997,1,2,8,8.0,8,8,8,8.0,8,8,1.0,4.0,4.0
dziugss,55313,47,114,1570,33.40425531914894,53,18,1575,33.51063829787234,59,14,0.9968253968253968,13.771929824561404,13.81578947368421
Schwarz,55463,22,53,786,35.72727272727273,51,17,847,38.5,54,20,0.9279811097992916,14.830188679245284,15.9811320754717
suma,64397,27,66,885,32.77777777777778,65,14,1025,37.96296296296296,61,22,0.8634146341463415,13.409090909090908,15.530303030303031
sSen,64403,27,66,863,31.96296296296296,58,13,999,37.0,62,19,0.8638638638638638,13.075757575757576,15.136363636363637
lezy,65215,12,28,400,33.333333333333336,55,16,432,36.0,51,24,0.925925925925926,14.285714285714286,15.428571428571429
Lekzi,65558,5,11,139,27.8,44,18,165,33.0,51,27,0.8424242424242424,12.636363636363637,15.0
Senzu,66066,5,13,243,48.6,71,30,183,36.6,54,28,1.3278688524590163,18.692307692307693,14.076923076923077
hampus,67467,9,24,401,44.55555555555556,62,30,405,45.0,65,29,0.9901234567901236,16.708333333333332,16.875
kelieN,67967,10,25,361,36.1,56,19,381,38.1,54,25,0.94750656167979,14.44,15.24
hfah,68240,2,3,60,30.0,41,19,53,26.5,36,17,1.1320754716981132,20.0,17.666666666666668
qzr,68483,2,5,64,32.0,33,31,69,34.5,40,29,0.927536231884058,12.8,13.8
splaw1k,71459,1,3,33,33.0,33,33,41,41.0,41,41,0.8048780487804879,11.0,13.666666666666666
SpavaQu,72956,34,86,1230,36.1764705882353,58,18,1207,35.5,48,25,1.0190555095277547,14.30232558139535,14.034883720930232
-_Chudy,74811,21,51,735,35.0,60,8,796,37.90476190476191,52,19,0.9233668341708544,14.411764705882351,15.607843137254902
betinho,77194,1,3,6,6.0,6,6,15,15.0,15,15,0.4,2.0,5.0
cHeuuuuk',89551,19,48,613,32.26315789473684,53,11,734,38.63157894736842,52,26,0.8351498637602179,12.770833333333334,15.291666666666666
Oxbrandd,89553,17,42,496,29.176470588235293,51,7,699,41.11764705882353,61,28,0.709585121602289,11.80952380952381,16.642857142857142
Chucky,89555,19,48,762,40.10526315789474,58,16,648,34.10526315789474,45,24,1.1759259259259258,15.875,13.5
Tarkky,89557,19,48,642,33.78947368421053,52,14,710,37.36842105263158,53,25,0.904225352112676,13.375,14.791666666666666
baccseven,97735,6,8,135,22.5,44,5,113,18.83333333333333,27,10,1.1946902654867255,16.875,14.125
OneUn1que,108591,37,89,1360,36.75675675675676,70,18,1272,34.37837837837838,63,12,1.069182389937107,15.280898876404494,14.292134831460674
zed1x,110876,120,281,4360,36.333333333333336,71,15,4343,36.19166666666667,64,14,1.0039143449228645,15.516014234875446,15.455516014234876
faLcOn,110878,136,318,4707,34.61029411764706,65,16,4693,34.50735294117647,73,13,1.0029831664180695,14.80188679245283,14.757861635220126
Kleepok,110880,145,340,5511,38.00689655172414,73,12,5098,35.15862068965517,74,15,1.0810121616320123,16.208823529411763,14.994117647058824
Shleper,110882,137,319,5358,39.10948905109489,89,17,4539,33.13138686131387,64,9,1.180436219431593,16.796238244514107,14.22884012539185
noeN,110884,144,345,5259,36.520833333333336,75,10,5392,37.44444444444444,71,12,0.975333827893175,15.243478260869566,15.628985507246377
myata,110885,135,325,4815,35.666666666666664,69,12,5208,38.577777777777776,68,22,0.9245391705069124,14.815384615384616,16.024615384615384
yakut,110887,135,323,4745,35.148148148148145,72,5,5262,38.977777777777774,72,15,0.9017483846446218,14.690402476780186,16.291021671826627
ZLOBAAAAAAAA,110889,130,309,4330,33.30769230769231,58,7,5039,38.761538461538464,64,15,0.8592974796586624,14.01294498381877,16.307443365695793
sashqua,110891,103,247,3845,37.33009708737864,65,11,4058,39.398058252427184,71,23,0.9475110892065056,15.566801619433198,16.42914979757085
Frontsiderr,110897,4,8,132,33.0,40,29,142,35.5,42,31,0.9295774647887324,16.5,17.75
-ZEMO,110899,2,4,66,33.0,38,28,67,33.5,38,29,0.9850746268656716,16.5,16.75
PeTeRoOo,110901,4,8,103,25.75,35,18,143,35.75,42,31,0.7202797202797203,12.875,17.875
suonko,110903,4,8,143,35.75,45,28,146,36.5,43,33,0.9794520547945206,17.875,18.25
rem1x,110926,6,11,171,28.5,49,15,123,20.5,31,9,1.3902439024390243,15.545454545454543,11.181818181818182
realz1n,110928,6,11,158,26.33333333333333,45,10,113,18.83333333333333,30,8,1.3982300884955752,14.363636363636363,10.272727272727272
zmb,110930,6,11,149,24.83333333333333,38,11,141,23.5,47,8,1.0567375886524824,13.545454545454543,12.818181818181818
ksloks,110932,11,27,448,40.72727272727273,66,7,404,36.72727272727273,58,10,1.108910891089109,16.59259259259259,14.962962962962964
shoowtime,110936,7,14,197,28.142857142857142,56,6,257,36.71428571428572,66,14,0.7665369649805448,14.071428571428571,18.357142857142858
Reix,110938,4,11,163,40.75,56,19,181,45.25,54,29,0.9005524861878453,14.818181818181818,16.454545454545453
KAISERzy,110940,7,14,222,31.714285714285715,62,7,204,29.142857142857142,47,13,1.088235294117647,15.857142857142858,14.571428571428571
bnc77,110942,7,14,165,23.571428571428573,45,7,225,32.142857142857146,58,12,0.7333333333333333,11.785714285714286,16.071428571428573
