id,series_title,tournament_name,start_time,format_name,format_short,team1_id,team1_name,team1_score_advantage,team2_id,team2_name,team2_score_advantage
2732480,cs2,CCT S2 - South America S4,2024-10-31 17:30:00+00:00,best-of-3,Bo3,53712,Vikings KR,0,49973,VeloX,0
2735320,cs2,Ljósleiðara deildin 2024,2024-10-31 19:30:00+00:00,best-of-3,Bo3,50072,Þór,0,49944,DUSTY,0
2732481,cs2,CCT S2 - South America S4,2024-10-31 20:30:00+00:00,best-of-3,Bo3,54147,ShindeN,0,54149,Tropa do Taco,0
2732482,cs2,CCT S2 - South America S4,2024-10-31 23:40:00+00:00,best-of-3,Bo3,53830,JOGA DE TERNO,0,51588,paiN Academy,0
2738562,cs2,Esports Battles Nov 2024 CS2,2024-11-01 06:00:00+00:00,best-of-3,Bo3,51658,NightRaid,0,51651,Gameinside,0
2738479,cs2,EPL S20 - CS2,2024-11-01 09:00:00+00:00,best-of-3,Bo3,51108,ECSTATIC,0,49506,Verdant,0
2738563,cs2,Esports Battles Nov 2024 CS2,2024-11-01 09:00:00+00:00,best-of-3,Bo3,51657,REMBAZA,0,51659,Purple Haze,0
2739205,cs2,United21 Season 22,2024-11-01 09:00:00+00:00,best-of-3,Bo3,53826,ADEPTS,0,53713,HEIMO,0
2738504,cs2,EPL S20 - CS2,2024-11-01 11:30:00+00:00,best-of-3,Bo3,53084,Navi Junior,0,51337,9 Pandas,0
2738564,cs2,Esports Battles Nov 2024 CS2,2024-11-01 11:45:00+00:00,best-of-3,Bo3,51658,NightRaid,0,51657,REMBAZA,0
2739206,cs2,United21 Season 22,2024-11-01 12:15:00+00:00,best-of-3,Bo3,51509,Viperio,0,49975,Astralis Talent,0
2740596,cs2,GRID-TEST,2024-11-01 13:45:00+00:00,best-of-3,Bo3,52314,CS2-1,0,52315,CS2-2,0
2732483,cs2,CCT S2 - South America S4,2024-11-01 14:30:00+00:00,best-of-3,Bo3,53919,LA CHAMPIONS LIGA,0,52162,BeBold.gg,0
2738502,cs2,EPL S20 - CS2,2024-11-01 14:30:00+00:00,best-of-3,Bo3,49787,SINNERS Esports,0,49792,ENDPOINT,0
2732484,cs2,CCT S2 - South America S4,2024-11-01 17:30:00+00:00,best-of-3,Bo3,50948,9z Academy,0,54155,Bestia Academy,0
2732485,cs2,CCT S2 - South America S4,2024-11-01 20:30:00+00:00,best-of-3,Bo3,50714,Sensei,0,51295,Yawara Esports,0
2740598,cs2,GRID-TEST,2024-11-01 22:00:00+00:00,best-of-3,Bo3,52023,ODDIK,0,53389,Galorys,0
2732486,cs2,CCT S2 - South America S4,2024-11-01 23:30:00+00:00,best-of-3,Bo3,54148,Game Hunters,0,53830,JOGA DE TERNO,0
