player_id,general,combat,performance,economy,progression,segments
111728,"{'series_played': 0, 'games_played': 0}","{'kills': {'total': 0, 'average': 0.0, 'best': 0, 'worst': 0}, 'deaths': {'total': 0, 'average': 0.0, 'worst': 0, 'best': 0}, 'first_kills': {'total': 0, 'percentage': 0.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 0, 'average': 0.0, 'max': 0}}",[]
111729,"{'series_played': 0, 'games_played': 0}","{'kills': {'total': 0, 'average': 0.0, 'best': 0, 'worst': 0}, 'deaths': {'total': 0, 'average': 0.0, 'worst': 0, 'best': 0}, 'first_kills': {'total': 0, 'percentage': 0.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 0, 'average': 0.0, 'max': 0}}",[]
111730,"{'series_played': 0, 'games_played': 0}","{'kills': {'total': 0, 'average': 0.0, 'best': 0, 'worst': 0}, 'deaths': {'total': 0, 'average': 0.0, 'worst': 0, 'best': 0}, 'first_kills': {'total': 0, 'percentage': 0.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 0, 'average': 0.0, 'max': 0}}",[]
111732,"{'series_played': 4, 'games_played': 9}","{'kills': {'total': 24, 'average': 6.0, 'best': 11, 'worst': 0}, 'deaths': {'total': 61, 'average': 15.25, 'worst': 20, 'best': 5}, 'first_kills': {'total': 4, 'percentage': 100.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 134205, 'average': 14911.666666666666, 'max': 33228}}",[]
111766,"{'series_played': 38, 'games_played': 94}","{'kills': {'total': 1552, 'average': 40.8421052631579, 'best': 57, 'worst': 0}, 'deaths': {'total': 1323, 'average': 34.81578947368421, 'worst': 58, 'best': 1}, 'first_kills': {'total': 33, 'percentage': 86.8421052631579}, 'damage': {'total': 150885, 'average': 1605.159574468085, 'max': 4161}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 2041, 'combat': {'kills': {'total': 1552, 'average': 0.7604115629593337}, 'deaths': {'total': 1323, 'average': 0.6482116609505144}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 22, 'avg_completions': 0.010779029887310143, 'first_completions': {'count': 2027, 'percentage': 99.3140617344439}}, {'type': 'beginDefuseWithoutKit', 'completions': 23, 'avg_completions': 0.011268985791278784, 'first_completions': {'count': 2022, 'percentage': 99.06908378245957}}, {'type': 'explodeBomb', 'completions': 20, 'avg_completions': 0.009799118079372856, 'first_completions': {'count': 2021, 'percentage': 99.02008819206272}}, {'type': 'plantBomb', 'completions': 91, 'avg_completions': 0.044585987261146494, 'first_completions': {'count': 1950, 'percentage': 95.54140127388536}}], 'win_rate': 49.58353748162666}]"
111768,"{'series_played': 36, 'games_played': 89}","{'kills': {'total': 1344, 'average': 37.333333333333336, 'best': 64, 'worst': 2}, 'deaths': {'total': 1206, 'average': 33.5, 'worst': 52, 'best': 0}, 'first_kills': {'total': 27, 'percentage': 75.0}, 'damage': {'total': 149137, 'average': 1675.6966292134832, 'max': 3054}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 1942, 'combat': {'kills': {'total': 1344, 'average': 0.6920700308959835}, 'deaths': {'total': 1206, 'average': 0.6210092687950567}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 19, 'avg_completions': 0.009783728115345005, 'first_completions': {'count': 1926, 'percentage': 99.1761071060762}}, {'type': 'beginDefuseWithoutKit', 'completions': 15, 'avg_completions': 0.007723995880535531, 'first_completions': {'count': 1929, 'percentage': 99.33058702368692}}, {'type': 'explodeBomb', 'completions': 31, 'avg_completions': 0.01596292481977343, 'first_completions': {'count': 1911, 'percentage': 98.40370751802266}}, {'type': 'plantBomb', 'completions': 106, 'avg_completions': 0.05458290422245108, 'first_completions': {'count': 1836, 'percentage': 94.5417095777549}}], 'win_rate': 49.279093717816686}]"
111770,"{'series_played': 38, 'games_played': 94}","{'kills': {'total': 1301, 'average': 34.23684210526316, 'best': 53, 'worst': 3}, 'deaths': {'total': 1394, 'average': 36.68421052631579, 'worst': 63, 'best': 0}, 'first_kills': {'total': 35, 'percentage': 92.10526315789474}, 'damage': {'total': 149123, 'average': 1586.4148936170213, 'max': 3688}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 2041, 'combat': {'kills': {'total': 1301, 'average': 0.6374326310632044}, 'deaths': {'total': 1394, 'average': 0.6829985301322881}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 30, 'avg_completions': 0.014698677119059285, 'first_completions': {'count': 2021, 'percentage': 99.02008819206272}}, {'type': 'beginDefuseWithoutKit', 'completions': 15, 'avg_completions': 0.007349338559529643, 'first_completions': {'count': 2027, 'percentage': 99.3140617344439}}, {'type': 'explodeBomb', 'completions': 21, 'avg_completions': 0.0102890739833415, 'first_completions': {'count': 2020, 'percentage': 98.97109260166586}}, {'type': 'plantBomb', 'completions': 67, 'avg_completions': 0.03282704556589907, 'first_completions': {'count': 1974, 'percentage': 96.7172954434101}}], 'win_rate': 49.58353748162666}]"
111772,"{'series_played': 35, 'games_played': 89}","{'kills': {'total': 1232, 'average': 35.2, 'best': 58, 'worst': 15}, 'deaths': {'total': 1409, 'average': 40.25714285714286, 'worst': 67, 'best': 17}, 'first_kills': {'total': 32, 'percentage': 91.42857142857143}, 'damage': {'total': 151300, 'average': 1700.0, 'max': 3521}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 1937, 'combat': {'kills': {'total': 1232, 'average': 0.6360351058337635}, 'deaths': {'total': 1409, 'average': 0.7274135260712442}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 28, 'avg_completions': 0.014455343314403717, 'first_completions': {'count': 1916, 'percentage': 98.91584925141971}}, {'type': 'beginDefuseWithoutKit', 'completions': 9, 'avg_completions': 0.004646360351058337, 'first_completions': {'count': 1931, 'percentage': 99.69024264326278}}, {'type': 'explodeBomb', 'completions': 49, 'avg_completions': 0.025296850800206504, 'first_completions': {'count': 1888, 'percentage': 97.47031491997934}}, {'type': 'plantBomb', 'completions': 135, 'avg_completions': 0.06969540526587506, 'first_completions': {'count': 1802, 'percentage': 93.03045947341249}}], 'win_rate': 49.612803304078476}]"
111774,"{'series_played': 38, 'games_played': 94}","{'kills': {'total': 1242, 'average': 32.68421052631579, 'best': 56, 'worst': 0}, 'deaths': {'total': 1369, 'average': 36.026315789473685, 'worst': 59, 'best': 0}, 'first_kills': {'total': 32, 'percentage': 84.21052631578947}, 'damage': {'total': 135973, 'average': 1446.5212765957447, 'max': 3370}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 2041, 'combat': {'kills': {'total': 1242, 'average': 0.6085252327290543}, 'deaths': {'total': 1369, 'average': 0.6707496325330721}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 22, 'avg_completions': 0.010779029887310143, 'first_completions': {'count': 2024, 'percentage': 99.16707496325331}}, {'type': 'beginDefuseWithoutKit', 'completions': 16, 'avg_completions': 0.007839294463498285, 'first_completions': {'count': 2028, 'percentage': 99.36305732484077}}, {'type': 'explodeBomb', 'completions': 60, 'avg_completions': 0.02939735423811857, 'first_completions': {'count': 1981, 'percentage': 97.06026457618813}}, {'type': 'plantBomb', 'completions': 161, 'avg_completions': 0.0788829005389515, 'first_completions': {'count': 1880, 'percentage': 92.11170994610485}}], 'win_rate': 49.58353748162666}]"
111776,"{'series_played': 17, 'games_played': 37}","{'kills': {'total': 509, 'average': 29.941176470588236, 'best': 47, 'worst': 2}, 'deaths': {'total': 532, 'average': 31.294117647058822, 'worst': 50, 'best': 2}, 'first_kills': {'total': 16, 'percentage': 94.11764705882352}, 'damage': {'total': 55410, 'average': 1497.5675675675675, 'max': 3355}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 771, 'combat': {'kills': {'total': 509, 'average': 0.6601815823605707}, 'deaths': {'total': 532, 'average': 0.6900129701686122}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 12, 'avg_completions': 0.01556420233463035, 'first_completions': {'count': 762, 'percentage': 98.83268482490273}}, {'type': 'beginDefuseWithoutKit', 'completions': 8, 'avg_completions': 0.010376134889753566, 'first_completions': {'count': 765, 'percentage': 99.22178988326849}}, {'type': 'explodeBomb', 'completions': 10, 'avg_completions': 0.01297016861219196, 'first_completions': {'count': 761, 'percentage': 98.70298313878081}}, {'type': 'plantBomb', 'completions': 37, 'avg_completions': 0.04798962386511025, 'first_completions': {'count': 734, 'percentage': 95.20103761348896}}], 'win_rate': 51.10246433203631}]"
