player_id,general,combat,performance,economy,segments,progression
115928,"{'series_played': 3, 'games_played': 8}","{'kills': {'total': 101, 'average': 33.666666666666664, 'best': 39, 'worst': 29}, 'deaths': {'total': 110, 'average': 36.666666666666664, 'worst': 41, 'best': 34}, 'first_kills': {'total': 3, 'percentage': 100.0}, 'damage': {'total': 9597, 'average': 1199.625, 'max': 2030}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 161, 'combat': {'kills': {'total': 101, 'average': 0.6273291925465838}, 'deaths': {'total': 110, 'average': 0.6832298136645962}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 6, 'avg_completions': 0.037267080745341616, 'first_completions': {'count': 156, 'percentage': 96.8944099378882}}, {'type': 'beginDefuseWithoutKit', 'completions': 1, 'avg_completions': 0.006211180124223602, 'first_completions': {'count': 160, 'percentage': 99.37888198757764}}, {'type': 'explodeBomb', 'completions': 2, 'avg_completions': 0.012422360248447204, 'first_completions': {'count': 159, 'percentage': 98.75776397515527}}, {'type': 'plantBomb', 'completions': 6, 'avg_completions': 0.037267080745341616, 'first_completions': {'count': 155, 'percentage': 96.27329192546584}}], 'win_rate': 55.90062111801242}]",
115929,"{'series_played': 3, 'games_played': 8}","{'kills': {'total': 101, 'average': 33.666666666666664, 'best': 35, 'worst': 32}, 'deaths': {'total': 123, 'average': 41.0, 'worst': 43, 'best': 38}, 'first_kills': {'total': 2, 'percentage': 66.66666666666666}, 'damage': {'total': 12322, 'average': 1540.25, 'max': 2715}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 161, 'combat': {'kills': {'total': 101, 'average': 0.6273291925465838}, 'deaths': {'total': 123, 'average': 0.7639751552795031}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 2, 'avg_completions': 0.012422360248447204, 'first_completions': {'count': 159, 'percentage': 98.75776397515527}}, {'type': 'beginDefuseWithoutKit', 'completions': 2, 'avg_completions': 0.012422360248447204, 'first_completions': {'count': 159, 'percentage': 98.75776397515527}}, {'type': 'explodeBomb', 'completions': 4, 'avg_completions': 0.024844720496894408, 'first_completions': {'count': 157, 'percentage': 97.51552795031056}}, {'type': 'plantBomb', 'completions': 14, 'avg_completions': 0.08695652173913043, 'first_completions': {'count': 147, 'percentage': 91.30434782608695}}], 'win_rate': 55.90062111801242}]",
115972,"{'series_played': 2, 'games_played': 4}","{'kills': {'total': 47, 'average': 23.5, 'best': 33, 'worst': 14}, 'deaths': {'total': 52, 'average': 26.0, 'worst': 27, 'best': 25}, 'first_kills': {'total': 2, 'percentage': 100.0}, 'damage': {'total': 5421, 'average': 1355.25, 'max': 1734}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 71, 'combat': {'kills': {'total': 47, 'average': 0.6619718309859155}, 'deaths': {'total': 52, 'average': 0.7323943661971831}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 1, 'avg_completions': 0.014084507042253521, 'first_completions': {'count': 70, 'percentage': 98.59154929577466}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 71, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 71, 'percentage': 100.0}}, {'type': 'plantBomb', 'completions': 3, 'avg_completions': 0.04225352112676056, 'first_completions': {'count': 68, 'percentage': 95.77464788732394}}], 'win_rate': 73.23943661971832}]",
115974,"{'series_played': 3, 'games_played': 6}","{'kills': {'total': 106, 'average': 35.333333333333336, 'best': 40, 'worst': 27}, 'deaths': {'total': 87, 'average': 29.0, 'worst': 33, 'best': 24}, 'first_kills': {'total': 3, 'percentage': 100.0}, 'damage': {'total': 10891, 'average': 1815.1666666666667, 'max': 2896}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 137, 'combat': {'kills': {'total': 106, 'average': 0.7737226277372263}, 'deaths': {'total': 87, 'average': 0.635036496350365}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 1, 'avg_completions': 0.0072992700729927005, 'first_completions': {'count': 136, 'percentage': 99.27007299270073}}, {'type': 'beginDefuseWithoutKit', 'completions': 2, 'avg_completions': 0.014598540145985401, 'first_completions': {'count': 135, 'percentage': 98.54014598540147}}, {'type': 'explodeBomb', 'completions': 7, 'avg_completions': 0.051094890510948905, 'first_completions': {'count': 130, 'percentage': 94.8905109489051}}, {'type': 'plantBomb', 'completions': 12, 'avg_completions': 0.08759124087591241, 'first_completions': {'count': 125, 'percentage': 91.24087591240875}}], 'win_rate': 46.715328467153284}]",
115976,"{'series_played': 5, 'games_played': 13}","{'kills': {'total': 206, 'average': 41.2, 'best': 56, 'worst': 24}, 'deaths': {'total': 188, 'average': 37.6, 'worst': 48, 'best': 24}, 'first_kills': {'total': 5, 'percentage': 100.0}, 'damage': {'total': 22313, 'average': 1716.3846153846155, 'max': 2757}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 292, 'combat': {'kills': {'total': 206, 'average': 0.7054794520547946}, 'deaths': {'total': 188, 'average': 0.6438356164383562}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 1, 'avg_completions': 0.003424657534246575, 'first_completions': {'count': 291, 'percentage': 99.65753424657534}}, {'type': 'beginDefuseWithoutKit', 'completions': 1, 'avg_completions': 0.003424657534246575, 'first_completions': {'count': 291, 'percentage': 99.65753424657534}}, {'type': 'explodeBomb', 'completions': 10, 'avg_completions': 0.03424657534246575, 'first_completions': {'count': 282, 'percentage': 96.57534246575342}}, {'type': 'plantBomb', 'completions': 14, 'avg_completions': 0.04794520547945205, 'first_completions': {'count': 278, 'percentage': 95.2054794520548}}], 'win_rate': 48.63013698630137}]",
115978,"{'series_played': 1, 'games_played': 3}","{'kills': {'total': 6, 'average': 6.0, 'best': 6, 'worst': 6}, 'deaths': {'total': 14, 'average': 14.0, 'worst': 14, 'best': 14}, 'first_kills': {'total': 1, 'percentage': 100.0}, 'damage': {'total': 825, 'average': 275.0, 'max': 825}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 65, 'combat': {'kills': {'total': 6, 'average': 0.09230769230769231}, 'deaths': {'total': 14, 'average': 0.2153846153846154}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 65, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 65, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 1, 'avg_completions': 0.015384615384615385, 'first_completions': {'count': 64, 'percentage': 98.46153846153847}}, {'type': 'plantBomb', 'completions': 2, 'avg_completions': 0.03076923076923077, 'first_completions': {'count': 63, 'percentage': 96.92307692307692}}], 'win_rate': 60.0}]",
115980,"{'series_played': 15, 'games_played': 35}","{'kills': {'total': 588, 'average': 39.2, 'best': 63, 'worst': 19}, 'deaths': {'total': 506, 'average': 33.733333333333334, 'worst': 55, 'best': 13}, 'first_kills': {'total': 9, 'percentage': 60.0}, 'damage': {'total': 62676, 'average': 1790.7428571428572, 'max': 4260}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 734, 'combat': {'kills': {'total': 588, 'average': 0.8010899182561307}, 'deaths': {'total': 506, 'average': 0.6893732970027248}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 6, 'avg_completions': 0.008174386920980926, 'first_completions': {'count': 728, 'percentage': 99.1825613079019}}, {'type': 'beginDefuseWithoutKit', 'completions': 7, 'avg_completions': 0.009536784741144414, 'first_completions': {'count': 727, 'percentage': 99.04632152588556}}, {'type': 'explodeBomb', 'completions': 9, 'avg_completions': 0.01226158038147139, 'first_completions': {'count': 725, 'percentage': 98.77384196185287}}, {'type': 'plantBomb', 'completions': 27, 'avg_completions': 0.03678474114441417, 'first_completions': {'count': 707, 'percentage': 96.32152588555857}}], 'win_rate': 49.04632152588556}]",
116050,"{'series_played': 13, 'games_played': 30}","{'kills': {'total': 423, 'average': 32.53846153846154, 'best': 66, 'worst': 18}, 'deaths': {'total': 443, 'average': 34.07692307692308, 'worst': 53, 'best': 20}, 'first_kills': {'total': 13, 'percentage': 100.0}, 'damage': {'total': 46312, 'average': 1543.7333333333333, 'max': 2978}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 642, 'combat': {'kills': {'total': 423, 'average': 0.6588785046728972}, 'deaths': {'total': 443, 'average': 0.6900311526479751}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 7, 'avg_completions': 0.010903426791277258, 'first_completions': {'count': 636, 'percentage': 99.06542056074767}}, {'type': 'beginDefuseWithoutKit', 'completions': 9, 'avg_completions': 0.014018691588785047, 'first_completions': {'count': 635, 'percentage': 98.90965732087228}}, {'type': 'explodeBomb', 'completions': 4, 'avg_completions': 0.006230529595015576, 'first_completions': {'count': 638, 'percentage': 99.37694704049844}}, {'type': 'plantBomb', 'completions': 18, 'avg_completions': 0.028037383177570093, 'first_completions': {'count': 624, 'percentage': 97.19626168224299}}], 'win_rate': 50.62305295950156}]",
116052,"{'series_played': 12, 'games_played': 28}","{'kills': {'total': 340, 'average': 28.333333333333332, 'best': 40, 'worst': 16}, 'deaths': {'total': 383, 'average': 31.916666666666668, 'worst': 52, 'best': 8}, 'first_kills': {'total': 12, 'percentage': 100.0}, 'damage': {'total': 37155, 'average': 1326.9642857142858, 'max': 3002}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 598, 'combat': {'kills': {'total': 340, 'average': 0.568561872909699}, 'deaths': {'total': 383, 'average': 0.6404682274247492}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 6, 'avg_completions': 0.010033444816053512, 'first_completions': {'count': 592, 'percentage': 98.99665551839465}}, {'type': 'beginDefuseWithoutKit', 'completions': 2, 'avg_completions': 0.0033444816053511705, 'first_completions': {'count': 596, 'percentage': 99.66555183946488}}, {'type': 'explodeBomb', 'completions': 15, 'avg_completions': 0.02508361204013378, 'first_completions': {'count': 583, 'percentage': 97.49163879598662}}, {'type': 'plantBomb', 'completions': 68, 'avg_completions': 0.11371237458193979, 'first_completions': {'count': 530, 'percentage': 88.62876254180601}}], 'win_rate': 51.33779264214047}]",
116053,"{'series_played': 13, 'games_played': 30}","{'kills': {'total': 435, 'average': 33.46153846153846, 'best': 55, 'worst': 15}, 'deaths': {'total': 457, 'average': 35.15384615384615, 'worst': 56, 'best': 20}, 'first_kills': {'total': 12, 'percentage': 92.3076923076923}, 'damage': {'total': 49296, 'average': 1643.2, 'max': 2749}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","[{'type': 'round', 'count': 642, 'combat': {'kills': {'total': 435, 'average': 0.677570093457944}, 'deaths': {'total': 457, 'average': 0.7118380062305296}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 2, 'avg_completions': 0.003115264797507788, 'first_completions': {'count': 640, 'percentage': 99.68847352024922}}, {'type': 'beginDefuseWithoutKit', 'completions': 5, 'avg_completions': 0.00778816199376947, 'first_completions': {'count': 638, 'percentage': 99.37694704049844}}, {'type': 'explodeBomb', 'completions': 5, 'avg_completions': 0.00778816199376947, 'first_completions': {'count': 637, 'percentage': 99.22118380062305}}, {'type': 'plantBomb', 'completions': 18, 'avg_completions': 0.028037383177570093, 'first_completions': {'count': 624, 'percentage': 97.19626168224299}}], 'win_rate': 50.62305295950156}]",
