player_id,general,combat,performance,economy,progression,segments
116232,"{'series_played': 5, 'games_played': 12}","{'kills': {'total': 20, 'average': 4.0, 'best': 9, 'worst': 0}, 'deaths': {'total': 86, 'average': 17.2, 'worst': 19, 'best': 14}, 'first_kills': {'total': 4, 'percentage': 80.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 146033, 'average': 12169.416666666666, 'max': 27278}}",[]
116234,"{'series_played': 5, 'games_played': 12}","{'kills': {'total': 28, 'average': 5.6, 'best': 11, 'worst': 4}, 'deaths': {'total': 70, 'average': 14.0, 'worst': 19, 'best': 10}, 'first_kills': {'total': 5, 'percentage': 100.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 208671, 'average': 17389.25, 'max': 43115}}",[]
116236,"{'series_played': 5, 'games_played': 12}","{'kills': {'total': 48, 'average': 9.6, 'best': 28, 'worst': 3}, 'deaths': {'total': 81, 'average': 16.2, 'worst': 23, 'best': 12}, 'first_kills': {'total': 5, 'percentage': 100.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 237800, 'average': 19816.666666666668, 'max': 49838}}",[]
116238,"{'series_played': 20, 'games_played': 46}","{'kills': {'total': 404, 'average': 20.2, 'best': 47, 'worst': 8}, 'deaths': {'total': 150, 'average': 7.5, 'worst': 17, 'best': 1}, 'first_kills': {'total': 17, 'percentage': 85.0}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}","{'experience': {'total': 1576192, 'average': 34265.04347826087, 'max': 64400}}",[]
116240,"{'series_played': 2, 'games_played': 4}","{'kills': {'total': 56, 'average': 28.0, 'best': 42, 'worst': 14}, 'deaths': {'total': 65, 'average': 32.5, 'worst': 52, 'best': 13}, 'first_kills': {'total': 1, 'percentage': 50.0}, 'damage': {'total': 5988, 'average': 1497.0, 'max': 1631}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 86, 'combat': {'kills': {'total': 56, 'average': 0.6511627906976745}, 'deaths': {'total': 65, 'average': 0.7558139534883721}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 86, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 86, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 1, 'avg_completions': 0.011627906976744186, 'first_completions': {'count': 85, 'percentage': 98.83720930232558}}, {'type': 'plantBomb', 'completions': 6, 'avg_completions': 0.06976744186046512, 'first_completions': {'count': 80, 'percentage': 93.02325581395348}}], 'win_rate': 60.46511627906976}]"
116242,"{'series_played': 2, 'games_played': 4}","{'kills': {'total': 58, 'average': 29.0, 'best': 50, 'worst': 8}, 'deaths': {'total': 64, 'average': 32.0, 'worst': 50, 'best': 14}, 'first_kills': {'total': 2, 'percentage': 100.0}, 'damage': {'total': 6904, 'average': 1726.0, 'max': 2302}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 86, 'combat': {'kills': {'total': 58, 'average': 0.6744186046511628}, 'deaths': {'total': 64, 'average': 0.7441860465116279}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 86, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 86, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 2, 'avg_completions': 0.023255813953488372, 'first_completions': {'count': 84, 'percentage': 97.67441860465115}}, {'type': 'plantBomb', 'completions': 6, 'avg_completions': 0.06976744186046512, 'first_completions': {'count': 80, 'percentage': 93.02325581395348}}], 'win_rate': 60.46511627906976}]"
116244,"{'series_played': 2, 'games_played': 4}","{'kills': {'total': 50, 'average': 25.0, 'best': 42, 'worst': 8}, 'deaths': {'total': 62, 'average': 31.0, 'worst': 51, 'best': 11}, 'first_kills': {'total': 2, 'percentage': 100.0}, 'damage': {'total': 5695, 'average': 1423.75, 'max': 2286}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 86, 'combat': {'kills': {'total': 50, 'average': 0.5813953488372093}, 'deaths': {'total': 62, 'average': 0.7209302325581395}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 86, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 2, 'avg_completions': 0.023255813953488372, 'first_completions': {'count': 84, 'percentage': 97.67441860465115}}, {'type': 'explodeBomb', 'completions': 2, 'avg_completions': 0.023255813953488372, 'first_completions': {'count': 84, 'percentage': 97.67441860465115}}, {'type': 'plantBomb', 'completions': 5, 'avg_completions': 0.05813953488372093, 'first_completions': {'count': 81, 'percentage': 94.18604651162791}}], 'win_rate': 60.46511627906976}]"
116246,"{'series_played': 2, 'games_played': 4}","{'kills': {'total': 61, 'average': 30.5, 'best': 51, 'worst': 10}, 'deaths': {'total': 59, 'average': 29.5, 'worst': 46, 'best': 13}, 'first_kills': {'total': 2, 'percentage': 100.0}, 'damage': {'total': 6419, 'average': 1604.75, 'max': 2339}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 86, 'combat': {'kills': {'total': 61, 'average': 0.7093023255813954}, 'deaths': {'total': 59, 'average': 0.686046511627907}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 1, 'avg_completions': 0.011627906976744186, 'first_completions': {'count': 85, 'percentage': 98.83720930232558}}, {'type': 'beginDefuseWithoutKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 86, 'percentage': 100.0}}, {'type': 'explodeBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 86, 'percentage': 100.0}}, {'type': 'plantBomb', 'completions': 2, 'avg_completions': 0.023255813953488372, 'first_completions': {'count': 84, 'percentage': 97.67441860465115}}], 'win_rate': 60.46511627906976}]"
116248,"{'series_played': 2, 'games_played': 4}","{'kills': {'total': 50, 'average': 25.0, 'best': 39, 'worst': 11}, 'deaths': {'total': 66, 'average': 33.0, 'worst': 54, 'best': 12}, 'first_kills': {'total': 2, 'percentage': 100.0}, 'damage': {'total': 6856, 'average': 1714.0, 'max': 2675}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 86, 'combat': {'kills': {'total': 50, 'average': 0.5813953488372093}, 'deaths': {'total': 66, 'average': 0.7674418604651163}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 86, 'percentage': 100.0}}, {'type': 'beginDefuseWithoutKit', 'completions': 1, 'avg_completions': 0.011627906976744186, 'first_completions': {'count': 85, 'percentage': 98.83720930232558}}, {'type': 'explodeBomb', 'completions': 0, 'avg_completions': 0.0, 'first_completions': {'count': 86, 'percentage': 100.0}}, {'type': 'plantBomb', 'completions': 2, 'avg_completions': 0.023255813953488372, 'first_completions': {'count': 84, 'percentage': 97.67441860465115}}], 'win_rate': 60.46511627906976}]"
116250,"{'series_played': 6, 'games_played': 14}","{'kills': {'total': 156, 'average': 26.0, 'best': 43, 'worst': 14}, 'deaths': {'total': 180, 'average': 30.0, 'worst': 34, 'best': 18}, 'first_kills': {'total': 6, 'percentage': 100.0}, 'damage': {'total': 19510, 'average': 1393.5714285714287, 'max': 2354}}","{'wins': {'count': 0, 'percentage': 0, 'current_streak': 0, 'max_streak': 0}}","{'net_worth': {'average': 0, 'max': 0}, 'inventory_value': {'average': 0, 'max': 0}}",,"[{'type': 'round', 'count': 272, 'combat': {'kills': {'total': 156, 'average': 0.5735294117647058}, 'deaths': {'total': 180, 'average': 0.6617647058823529}}, 'objectives': [{'type': 'beginDefuseWithKit', 'completions': 5, 'avg_completions': 0.01838235294117647, 'first_completions': {'count': 268, 'percentage': 98.52941176470588}}, {'type': 'beginDefuseWithoutKit', 'completions': 4, 'avg_completions': 0.014705882352941176, 'first_completions': {'count': 268, 'percentage': 98.52941176470588}}, {'type': 'explodeBomb', 'completions': 11, 'avg_completions': 0.04044117647058824, 'first_completions': {'count': 261, 'percentage': 95.95588235294117}}, {'type': 'plantBomb', 'completions': 24, 'avg_completions': 0.08823529411764706, 'first_completions': {'count': 248, 'percentage': 91.17647058823529}}], 'win_rate': 52.57352941176471}]"
